HOMOGENIZED MONTHLY VALUES

Stations
Stnr	Name	Operates from	Operates until	Altitude	Latitude	Longitude	Municipality	County	Region
18700	OSLO (R)	1937	 	94	59.9423	10.7200	Oslo	Oslo	SOUTHEASTERN NORWAY

In the table above is the homogene timeserie name and period used. R means reconstructed station timeserie.

Elements
Code	Name	Unit
TAM	Mean temperature	degC



St.no	Month	TAM
18700	01.1897	-5.5
18700	02.1897	-3.9
18700	03.1897	-1.0
18700	04.1897	5.3
18700	05.1897	10.6
18700	06.1897	15.6
18700	07.1897	18.9
18700	08.1897	16.9
18700	09.1897	10.9
18700	10.1897	4.7
18700	11.1897	0.0
18700	12.1897	-0.5
18700	01.1898	0.6
18700	02.1898	-1.9
18700	03.1898	-0.5
18700	04.1898	3.7
18700	05.1898	9.2
18700	06.1898	14.7
18700	07.1898	15.1
18700	08.1898	13.7
18700	09.1898	11.2
18700	10.1898	6.1
18700	11.1898	0.7
18700	12.1898	-1.4
18700	01.1899	-5.3
18700	02.1899	-2.5
18700	03.1899	-1.2
18700	04.1899	3.9
18700	05.1899	9.3
18700	06.1899	15.0
18700	07.1899	19.3
18700	08.1899	16.3
18700	09.1899	10.7
18700	10.1899	5.7
18700	11.1899	3.5
18700	12.1899	-3.6
18700	01.1900	-3.5
18700	02.1900	-8.3
18700	03.1900	-1.4
18700	04.1900	3.6
18700	05.1900	8.3
18700	06.1900	16.5
18700	07.1900	16.4
18700	08.1900	15.2
18700	09.1900	11.2
18700	10.1900	6.0
18700	11.1900	0.9
18700	12.1900	-2.3
18700	01.1901	-5.5
18700	02.1901	-7.5
18700	03.1901	-1.3
18700	04.1901	5.4
18700	05.1901	12.2
18700	06.1901	14.6
18700	07.1901	21.7
18700	08.1901	16.9
18700	09.1901	12.5
18700	10.1901	8.8
18700	11.1901	-2.1
18700	12.1901	-3.5
18700	01.1902	-1.3
18700	02.1902	-5.3
18700	03.1902	-0.5
18700	04.1902	3.2
18700	05.1902	7.6
18700	06.1902	15.0
18700	07.1902	14.3
18700	08.1902	12.5
18700	09.1902	9.3
18700	10.1902	3.8
18700	11.1902	-0.4
18700	12.1902	-6.1
18700	01.1903	-5.6
18700	02.1903	0.6
18700	03.1903	3.0
18700	04.1903	3.7
18700	05.1903	10.2
18700	06.1903	15.2
18700	07.1903	15.8
18700	08.1903	14.1
18700	09.1903	11.5
18700	10.1903	4.2
18700	11.1903	-0.6
18700	12.1903	-2.4
18700	01.1904	-1.4
18700	02.1904	-5.0
